version	dependencyCount	cbo	aff	eff	mq	evm	lcom5
jedit-2.3.2	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.3	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.4	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.5	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.6	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.7	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.f	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.4.1	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.4.2	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.4.f	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.5.1	64	0.5	0.5	1.0	0.9841269841269841	-288	0.917989417989418
jedit-2.5.f	64	0.5	0.5	1.0	0.9841269841269841	-288	0.917989417989418
jedit-2.6.f	64	0.0	0.0	0.0	0.0	-290	0.9153439153439153
jedit-3.0.0	1952	3.5	23.928571428571427	17.642857142857142	7.535186726082688	-8818	0.8476267912529659
jedit-3.0.1	1962	3.5	24.071428571428573	17.714285714285715	7.476485052374461	-8958	0.8476757398010485
jedit-3.0.2	1962	3.5	24.071428571428573	17.714285714285715	7.476485052374461	-8958	0.8476757398010485
jedit-3.1.0	2035	3.5714285714285716	25.285714285714285	18.285714285714285	7.29887371160879	-10229	0.8510624303631215
jedit-3.2.0	2420	3.625	26.625	18.75	7.8220108633837855	-13054	0.8569406465625493
jedit-3.2.1	2422	3.625	26.625	18.75	7.823762331172531	-13050	0.8569178623292387
jedit-3.2.2	2425	3.625	26.6875	18.75	7.823216021826765	-13050	0.8568942345024797
jedit-4.0.0	2899	4.0	28.63157894736842	19.263157894736842	8.63406203180141	-18711	0.8519748051804502
jedit-4.0.2	2899	4.0	28.63157894736842	19.263157894736842	8.63406203180141	-18711	0.8519748051804502
jedit-4.0.3	2899	4.0	28.63157894736842	19.263157894736842	8.63406203180141	-18711	0.8519748051804502
jedit-4.1.0	3197	4.4	30.15	19.6	9.2895242961077	-19476	0.8623131065905972
jedit-4.2.0	4151	4.565217391304348	33.0	21.434782608695652	10.825774559188073	-27315	0.8568755812440643
jedit-4.3.0	5891	5.275862068965517	40.51724137931034	24.17241379310345	13.387281741893695	-48869	0.8502371380806649
jedit-4.3.1	5892	5.275862068965517	40.51724137931034	24.17241379310345	13.382457968217462	-48869	0.8502371380806649
